date,symbol,signal,rank_score,base_score,price,rsi,gex_1pct_m,gex_bps,regime,call_wall,put_wall,gamma_flip,call_wall_edge,put_wall_edge,has_earnings_data,stop_loss,target_price,hold_horizon,recommended_strategy,exit_price,exit_reason,pnl_usd,pnl_pct,fwd_1d_pct,fwd_5d_pct,logged_at
2026-09-20,HOOD,WALL_PIN,49.0,40.0,119.82,60.0,30.56,2.8364,,120.0,110.0,102.82,False,False,True,123.41,120.42,1,Iron Condor / Short Volatility,,,,,,,2026-09-20T13:32:24.263811+00:00
2026-09-20,AAPL,WALL_PIN,47.2,40.0,336.13,64.3,775.85,1.5816,,340.0,300.0,311.41,False,False,True,346.8,337.81,1,Iron Condor / Short Volatility,,,,,,,2026-09-20T13:32:24.263811+00:00
2026-09-20,INTC,WALL_PIN,45.4,40.0,108.6,61.7,87.9,1.5312,,110.0,100.0,92.39,False,False,True,112.2,109.14,1,Iron Condor / Short Volatility,,,,,,,2026-09-20T13:32:24.263811+00:00
2026-09-20,PLTR,WALL_PIN,43.6,40.0,177.64,57.0,27.37,0.6411,,180.0,170.0,171.42,False,False,True,183.6,178.53,1,Iron Condor / Short Volatility,,,,,,,2026-09-20T13:32:24.263811+00:00
2026-09-20,ASML,WALL_PIN,41.8,40.0,1679.92,48.6,-17.48,-0.2709,,1700.0,1600.0,1723.68,False,False,True,1734.0,1688.32,1,Iron Condor / Short Volatility,,,,,,,2026-09-20T13:32:24.263811+00:00
2026-09-21,PLTR,WALL_PIN,49.0,40.0,179.43,57.0,294.26,6.8247,,180.0,170.0,178.41,False,False,True,184.81,180.32,1,Iron Condor / Short Volatility,,,,,,,2026-09-21T13:32:24.770425+00:00
2026-09-21,META,WALL_PIN,44.5,40.0,696.13,65.8,569.16,3.2094,,700.0,640.0,693.86,False,False,True,717.01,699.61,1,Iron Condor / Short Volatility,,,,,,,2026-09-21T13:32:24.770425+00:00
2026-09-15,AMAT,OVERSOLD_BULL_PULLBACK,,,427.98,,,,,,,,,,,393.74,445.1,5,,454.785,TARGET,62.63,6.26,,,2026-09-21T19:55:33.165192+00:00
2026-09-22,PLTR,WALL_PIN,44.5,40.0,183.8,61.1,100.89,2.2843,,185.0,170.0,183.17,False,False,True,189.31,184.72,1,Iron Condor / Short Volatility,,,,,,,2026-09-22T13:32:42.573956+00:00
2026-09-15,AMAT,OVERSOLD_BULL_PULLBACK,,,427.98,,,,,,,,,,,393.74,445.1,5,,454.785,TARGET,62.63,6.26,,,2026-09-22T19:55:34.599705+00:00
